district_code,idi_slope,idi_slope_se,n_obs,n_piped
507.0,0.003,0.0031,871,472
508.0,0.0087,0.0031,795,401
509.0,0.0019,0.0025,870,618
510.0,0.012,0.0026,809,473
511.0,-0.0045,0.0027,830,372
512.0,0.0237,0.0027,835,510
513.0,0.0034,0.0027,742,338
514.0,0.0141,0.0029,675,423
515.0,0.0357,0.0043,711,524
516.0,0.0231,0.0034,797,642
518.0,0.0726,0.0072,634,628
520.0,0.0122,0.005,793,716
521.0,0.0162,0.0064,704,614
522.0,0.0337,0.0034,765,540
523.0,0.0162,0.0028,715,397
524.0,0.0024,0.0026,793,458
525.0,0.0216,0.0027,784,467
526.0,0.0355,0.0038,788,544
527.0,0.0157,0.0045,833,710
528.0,0.0179,0.0063,765,643
529.0,0.0289,0.0059,678,414
530.0,0.0118,0.0057,844,791
531.0,0.0269,0.0056,805,635
869.0,0.0161,0.0039,772,531
870.0,0.0259,0.013,727,679
542.0,0.0244,0.0042,661,418
543.0,0.0216,0.0041,793,609
544.0,0.0227,0.0047,677,525
545.0,0.0201,0.0048,609,465
546.0,0.0354,0.013,592,498
547.0,0.006,0.0054,621,444
548.0,0.0316,0.0088,523,363
549.0,0.0159,0.006,402,262
550.0,0.0099,0.0068,519,390
551.0,-0.0013,0.0054,640,381
552.0,0.01,0.0047,731,633
553.0,-0.0087,0.0054,557,297
554.0,0.0098,0.0052,622,365
555.0,0.0004,0.0025,846,570
556.0,0.0047,0.0043,735,614
557.0,0.0044,0.0025,792,479
558.0,0.0098,0.0022,859,485
559.0,0.0014,0.0033,759,644
560.0,-0.0038,0.004,716,631
561.0,0.0047,0.0038,797,684
562.0,-0.0012,0.0043,740,644
563.0,0.0131,0.0028,835,384
564.0,-0.004,0.0034,820,702
565.0,-0.0003,0.0032,808,624
566.0,-0.0067,0.0031,776,563
567.0,-0.0017,0.0041,730,612
568.0,0.0018,0.0033,877,699
569.0,0.0109,0.0032,820,207
570.0,0.0235,0.0046,762,598
571.0,-0.0021,0.0029,759,484
572.0,0.0056,0.0083,726,644
573.0,-0.0071,0.0037,811,681
574.0,-0.0139,0.0029,815,601
575.0,-0.0034,0.003,839,470
576.0,0.0033,0.0026,859,439
577.0,0.0115,0.005,789,700
578.0,0.0016,0.0043,845,749
579.0,0.009,0.0024,827,561
580.0,-0.0022,0.0028,841,637
581.0,-0.0079,0.0037,567,273
582.0,0.0059,0.003,655,386
583.0,-0.0147,0.0038,612,405
584.0,0.0043,0.0037,700,537
585.0,0.0253,0.0083,922,829
586.0,0.0253,0.0141,927,890
587.0,0.0276,0.0042,869,261
588.0,-0.0039,0.0034,899,250
589.0,-0.0025,0.0062,895,88
590.0,-0.0048,0.0039,847,336
591.0,0.021,0.0039,860,207
592.0,-0.0,0.0065,873,139
593.0,-0.0097,0.004,869,325
594.0,0.0054,0.0041,834,258
595.0,0.0585,0.0064,846,462
596.0,0.0015,0.0039,799,278
597.0,0.0087,0.004,823,334
598.0,0.0073,0.0035,852,454
599.0,0.0355,0.0055,811,163
600.0,-0.0015,0.0049,841,171
601.0,0.0176,0.0044,808,382
602.0,0.0079,0.0097,662,410
604.0,0.044,0.0096,687,454
605.0,0.0143,0.0058,843,715
606.0,0.0244,0.0081,850,771
607.0,0.0063,0.0076,827,772
608.0,0.0131,0.0063,868,800
609.0,0.0248,0.0069,871,783
610.0,-0.0054,0.0054,857,751
611.0,0.0202,0.0053,860,742
612.0,0.022,0.0068,894,815
613.0,0.0117,0.0067,851,807
614.0,0.0144,0.0077,831,761
615.0,0.003,0.0062,836,779
616.0,-0.0006,0.0071,775,715
617.0,0.0214,0.0081,823,677
618.0,0.017,0.005,856,743
619.0,0.0183,0.0076,858,771
620.0,0.0103,0.0093,817,736
621.0,0.0073,0.0057,760,635
622.0,-0.0085,0.0058,799,674
623.0,0.0213,0.0084,817,672
624.0,0.031,0.0101,914,878
625.0,0.0067,0.0057,837,699
626.0,0.025,0.0056,659,502
627.0,0.0129,0.0064,813,714
628.0,0.0352,0.0085,838,790
629.0,0.0332,0.0061,777,535
630.0,0.007,0.0054,884,811
631.0,0.0184,0.0053,866,735
632.0,-0.0091,0.0105,873,857
633.0,0.0412,0.0099,864,824
635.0,0.0031,0.0161,759,683
637.0,0.0319,0.0161,839,753
639.0,0.0232,0.0053,820,766
640.0,0.0249,0.0082,831,769
883.0,-0.0,0.0031,761,415
884.0,0.0093,0.0042,771,588
886.0,0.0194,0.0045,582,288
887.0,0.0111,0.0039,429,316
888.0,0.0046,0.0037,674,436
889.0,0.0097,0.0047,766,653
890.0,0.0047,0.0031,668,487
891.0,0.0194,0.0047,521,403
892.0,0.0065,0.0039,691,385
893.0,0.001,0.0038,766,353
894.0,0.019,0.0038,646,408
895.0,0.0128,0.0045,732,570
896.0,0.015,0.0037,812,480
897.0,0.0078,0.0029,631,447
898.0,0.0343,0.0069,437,326
899.0,0.0111,0.0044,706,520
900.0,0.0141,0.005,491,389
901.0,0.0149,0.0031,788,476
902.0,0.0132,0.0046,628,501
903.0,0.0269,0.0065,761,577
904.0,0.0073,0.0065,336,236
905.0,0.0108,0.0042,568,379
906.0,0.0089,0.0028,599,337
907.0,0.0105,0.0044,489,364
908.0,0.0101,0.0047,471,249
909.0,0.0083,0.0029,787,632
910.0,0.0102,0.004,694,542
911.0,0.0204,0.0042,501,313
912.0,0.0292,0.0062,531,403
913.0,0.019,0.0072,270,133
3.0,0.0131,0.004,824,628
4.0,0.0246,0.0044,767,498
